,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,URT
77,مطعم شمس الوارث,ChIJLTXm3JxrWRURNBdTIIrCyyw,32.6197153,44.0335527,3.3,"['restaurant', 'point_of_interest', 'food', 'establishment']","Unnamed Road, Karbala 56001",2,63
78,Habeeb Kebab Restaurant,ChIJVzjQbWxsWRURdeC5td-luz0,32.6316334,44.0419128,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","J2JR+JQV, Karbala",2,1956
79,مطعم الحسين العائلي,ChIJJc6xnStpWRURj518cTPLRVQ,32.6013128,44.0140829,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']",الحسين، كربلاء،,2,115
80,مطعم الشكرجي,ChIJy7vlHsZpWRUR5F0ogIgRNxk,32.59978150000001,44.0107972,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",Karbala,2,36
81,مطعم كباب اولاد طلاك,ChIJxShDJi1tWRURg3Nti6Ekkm4,32.6394274,44.07954960000001,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",J3QH+QRF، J3QJ+W4Q،,2,3
82,مطعم وحدائق بوابة العراق,ChIJ0WbDHFlpWRURBM8OtawLYRE,32.6189543,44.0119344,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",كربلاء المقدسة، منطقة المعملجي كربلاء الفلكه الجمعيه,2,314
83,Abu Mazen Restaurant,ChIJ4QgiQnhrWRURJfOa51anqhM,32.6050731,44.05925269999999,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",Karbala - Hillah Rd,2,165
84,مطعم و مشويات القسيم,ChIJLa13bVhrWRUR118GDeD3jUI,32.6167434,44.0392045,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","J28Q+PJ8, Bab Al-khan, Karbala",2,11
85,مطعم كباب ابو علي,ChIJM0kLWQBtWRURKOlvX2rll6s,32.6215269,44.0429439,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","J2CV+J58, Maitham al-Tamar St, Karbala",2,94
86,مطعم ازهر ابو الكص,ChIJzZVSK0trWRURWSJujat5ueU,32.5861441,44.0386052,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2PQ+FC5, Karbala",2,6
87,مطعم بركات الزهراء,ChIJ29sgTzppWRURpXvm1mn3KOw,32.6151921,43.9809576,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",بداية حي العسكري قرب صيدليه الرونق كربلاء تقاطع حي العسكري و حي المهندسين,2,14
88,Damascene House Restaurant,ChIJHbqLJjdqWRURTiSiEcWOo0M,32.5798325,44.0353622,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","مقابل عامود 1344، شارع النجف, Karbala",2,1080
89,Ishtar restaurant,ChIJ_1Ps-6NpWRURJsJjSYFDAuA,32.5961187,44.0175835,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","حي الحسين كربلاء, المركز",2,564
90,Ain al-Tamur Restaurant,ChIJMRzaEHhrWRURcZuX4gyQJSA,32.604534,44.0587331,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",Karbala - Hillah Rd,2,231
