,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,URT
56,Jiddu’s Restaurant,ChIJYcWgKKh-VxURjiIWEGeygZo,33.3584668,44.3238902,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","985F+9HR, Baghdad",2,76
57,ohana restaurant,ChIJ5zS6XnKFVxURkvxCClyxByk,33.3196393,44.5005699,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8G92+V75, Baghdad",2,1
58,Yalanji Restaurant,ChIJOylLP2uDVxUR0BAxIPytRc0,33.3644472,44.40955899999999,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","9C75+QRF, Palestine St, Baghdad",2,544
59,مطعم الحر,ChIJTR85Vjl5VxURO2ysaBQjkDo,33.3366571,44.39514630000001,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","89PW+M3F, Al Rasheed St, Baghdad",2,5
60,Al-Sultan restaurant,ChIJvRjAFsR_VxURgi7Gb3qBomQ,33.2786813,44.3643858,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","جسر الجادرية, Baghdad",2,1135
61,Al-Faisaliya Restaurant & Cafe,ChIJM8FDjraBVxURbxB7FIa8D38,33.2914023,44.4209515,4.2,"['restaurant', 'cafe', 'point_of_interest', 'food', 'establishment']","Arasat Al-Hindiyah, Baghdad",2,1213
62,Latakia Restaurant,ChIJQ8CeIKWBVxURqU8hhh9AXhE,33.2939854,44.4285297,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","7CVH+HC8, Arasat Al-Hindiyah, Baghdad",2,420
63,Abu Ehab Restaurant,ChIJ____v9rVWRURroe8hr9NJxY,33.2653993,44.3317443,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","788J+5M5, Baghdad",2,950
64,Bayarat Al-Sham Restaurant,ChIJw-rZ5dV_VxURPo4i9ofRJPM,33.276032,44.3654739,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","79G8+C58، شارع قطر الندى, Baghdad",2,1948
65,مطعم قاسم ابو الكص,ChIJN5eriuB4VxURf05ZyEhmGkA,33.3673504,44.3635361,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","9987+WCM، الاعظمية، بغداد،, Baghdad",2,3722
66,مطعم الصادق,ChIJUzxy5huCVxUR95qCMxEFLtY,33.33115799999999,44.412956,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","8CJ7+F58, Baghdad",2,145
67,Zarzoor Restaurant - Al Karrada,ChIJo_Sb6puBVxURk6DMtTvTSYQ,33.3050498,44.4311071,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","Fetah Square, Baghdad",2,1427
68,Alsaa'i Restaurant,ChIJA01SafaCVxURVwPCVSGFlXs,33.3584542,44.4238557,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","9C5F+9GQ, Baghdad",2,541
69,Tannourine,ChIJsWnaav-DVxURoyY5s0oyp6U,33.32866850000001,44.4563803,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']","8FH4+FH6, Baghdad",2,749
70,Al-Jadriya Restaurant and Gardens,ChIJK1ZkeCB_VxURd2oDh4Re_pw,33.2825725,44.3921581,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","79MR+2VF, Baghdad",2,794
71,Abu Mazen Restaurant,ChIJG4KbknaBVxURHAWMJlSOjyY,33.3010625,44.4401875,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","8C2R+C3Qبغداد, Aqba Bin Nafi Square, Baghdad",2,901
72,Alqahira restaurant,ChIJ5x_fQW94VxURdfzs9LnO2Oo,33.3838034,44.3863327,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","99MP+6QG، الشارع العام, Baghdad",2,623
73,Al-Amakin Restaurant,ChIJFZC5-vGDVxURJMiVmNkdjyk,33.3145029,44.465255,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",Baghdad,2,431
74,مطعم وكافية الجنائن المعلقة,ChIJ9Y6FSHR_VxURlP3ohA3XmCs,33.318014,44.345486,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","Babylon Mall, Baghdad",2,632
75,Al-Saqqa restaurant,ChIJdSPAvb-DVxUREcgChNddleQ,33.3568796,44.4633647,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","9F47+Q85, Baghdad",2,216
76,Strawberry Restaurant,ChIJ_96I4gd4VxURfe_OjNpWN5M,33.3952858,44.3983493,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","99WX+485, 23, Baghdad",2,315
77,Darwish Restaurant,ChIJcQE9t3OEVxUReEFMO5NdqmQ,33.31623,44.481469,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","8F8J+FHX, Baghdad",2,1263
78,Restaurant gardens and palm breezes,ChIJrdDhAQeAVxURqUKhI4gNRCc,33.2599983,44.4068183,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","مجاور كلية الفارابي, Masafi St, Baghdad",2,81
79,مطعم مسك الشام,ChIJC5lNsjCHVxURSJv6h5CkjIA,33.264275,44.47764979999999,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","7F7H+P32، Unnamed Road, Baghdad",2,174
80,Quick Restaurant,ChIJEbZp9Ot4VxURXJFQxIGx-DU,33.3644541,44.3766787,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","997G+QMF, Baghdad",2,109
81,Saad Restaurant for Baghdadi food,ChIJmSmG2A55VxURsOoeaqk7CHs,33.3433104,44.38814929999999,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","89VQ+87C, Rashid Street, Baghdad",2,13
82,مطعم ابو زهراء,ChIJ0SB4f9SDVxUROMzygHN9VjI,33.336271,44.41102360000001,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8CP6+GC2, Baghdad",2,0
83,مطعم الرحمن( ماهر ابو الجري ),ChIJv3Ojt0x_VxURENaleYUaBTE,33.3375295,44.3862658,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","89QP+2G6, Baghdad",2,69
84,مطعم كوست,ChIJN5vgm4eBVxURwUWqbfzjCho,33.3094662,44.4383498,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","8C5Q+Q8Q, 52nd St, Baghdad",2,106
85,Restaurant Abu allosh,ChIJCTbQtquDVxURXIa0jkytFnA,33.3434255,44.4337478,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","8CVM+9FH، شارع فلسطين، بغداد،, Baghdad",2,5
86,مطعم ينابيع الشام,ChIJu1qtrBZ_VxURzNkpgt0JOUA,33.3276121,44.3383761,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع 14 رمضان،, بغداد،",2,70
87,مطعم جتر جكن / چتر چكن Chitir chicken Karrada,ChIJWXfze9aBVxURinFFWmCSgjI,33.313709,44.4267787,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","8C7G+FPW, شارع مجاور مستشفى الاهلي، النضال، Baghdad, Baghdad",2,17
88,Happy Time Restaurant,ChIJ5dPfTqGcVxURP5ZVJXM_TVs,33.3856834,44.4709505,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","9FPC+798, Baghdad",2,392
89,مطعم السندباد Sindbad Restaurant,ChIJgT9fc_eBVxURPR6Jwwy843s,33.3246353,44.4098659,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Baghdad,2,215
90,Nineveh Kabab Restaurant,ChIJw0btn2B-VxURh6Yz0h8zJCI,33.3180433,44.3426619,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Al Mansur St, Baghdad",2,307
91,Farooj Al Abdallah Baghdad مطعم فروج العبدالله بغداد,ChIJBXV3lQmDVxURi20OH14IY2Y,33.3283668,44.4570082,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","مقابل دار ألأزياء, Baghdad - Zayoune Street In Front Of Fashion Centre, شارع الزيونة, Baghdad",2,45
92,Chitir Chicken Central Restaurant,ChIJJZBeo3yDVxURl93G9wxBhSM,33.4002466,44.4035699,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","23, Baghdad",2,484
93,Naranj Restaurant,ChIJ8-Ivc-R_VxURqUECEQlrsZU,33.2829903,44.3942255,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","79MV+5MP Jamia St, شارع الجامعة، Baghdad",2,1596
94,Nasim Tigris Restaurant,ChIJt5sBH6x5VxURlLoDKemWPco,33.392538,44.3569193,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",Baghdad,2,360
95,مطعم وفر,ChIJU0zgqIqBVxURjoNbEGMPftQ,33.29473,44.4362453,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Arasat Al-Hindiyah, Baghdad",2,1
96,Abu Mustafa Restaurant,ChIJNay99GF-VxURyV3ynNJipEU,33.3221875,44.3380625,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","00, Baghdad",2,242
97,Balcony Restaurant,ChIJgakx-nSBVxUR1k392nAiGGM,33.2926945,44.42581879999999,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","7CVG+38G, Baghdad",2,92
98,مطعم كباب اربيل,ChIJKdg2QqCBVxURmEMWnV-lm1Q,33.3039973,44.4462242,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",الكراده ساحة التحريات، قرب شارع 52،,2,191
99,Al-Karrady Restaurant,ChIJSzcSTgqCVxURRXlmGwOJ31o,33.3460873,44.4018451,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","8CW2+CPQ, Baghdad",2,274
100,مطعم الطائي,ChIJFaZgRRB8VxURke0xg5bU5vM,33.3602903,44.3124177,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","9866+4X7, Baghdad",2,14
101,Jadiriyah Floating Restaurant,ChIJr1MX2b9_VxURiRahEpzySdk,33.2858907,44.3779917,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","79PH+955, Abi Nawas Street, Baghdad",2,1658
102,مطعم كباب هوى بغداد,ChIJ2eGGQ1B_VxURS5CJgocdbdg,33.2910379,44.3487145,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","78RX+CF8, Jinub Street, Baghdad",2,269
103,Rosemary Restaurant,ChIJqyS9K63VWRURhk72yjgL22w,33.2510277,44.352561,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","7923+C27, Baghdad",2,446
104,مطعم العربة,ChIJqfz_gst5VxURnqUv-bF4odo,33.3911229,44.386698,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","99RP+FM4, Baghdad",2,96
105,Rayian BBQs,ChIJP0uVlEZ4VxURQ8igYnjIZtA,33.3937675,44.3741833,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","99VF+GM3, AL 600 St, Baghdad",2,73
106,Restaurant and Grill Rahman,ChIJ1XTNH5B_VxUR3eSL0_Koe6Q,33.290049,44.3899398,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","24 شارع ابو نؤاس, Baghdad",2,258
107,مطعم,ChIJ1fLfhuB_VxUR02sw8ce7Cg8,33.302753,44.335261,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","4 streets, Baghdad",2,8
108,مطعم بخار وحطب,ChIJFyVYpBd_VxURm8VDPquXH-4,33.3191655,44.3362803,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","889P+HCC, Baghdad",2,22
109,50 grill,ChIJv8VvDll_VxURwFwJCwDMSIE,33.2999222,44.3387614,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",Al yarmouk Baghdad Al-Mansour,2,78
110,Sports Restaurant,ChIJhwtSrVOEVxURFwR8kaCyprY,33.311549,44.5095598,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","8G65+JRH, Unnamed Road,, Baghdad",2,656
111,Big Chicken,ChIJW3gDYF6DVxURadIw6RcFOKo,33.3492849,44.47304430000001,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","8FXF+P67، 7 نيسان،, Baghdad",2,145
112,Restaurant and Grill Shaqlawa,ChIJMytweVWdVxURJIwO54iF3J8,33.4060875,44.3991456,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","C94X+CMJ, Baghdad",2,155
113,Shehab’s Restaurant,ChIJjdK2bSJ5VxURhubsaCuTWZg,33.3686706,44.35346209999999,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9993+F98, Unnamed Rd, Baghdad",2,114
114,Al-kameh Restaurant,ChIJU2YWdfeBVxURHJ3UayMxYDE,33.3248294,44.4098342,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","8CF5+WWP, Baghdad",2,247
115,Diwan Restaurant,ChIJNc8-KcmCVxUR__yQniMZI3I,33.3870488,44.42253669999999,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","9CPF+R26, Baghdad",2,139
116,Al-Hati Baja Restaurant,ChIJMXz31pSBVxURevvFs35S6B4,33.30594420000001,44.4301783,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","8C4J+93F, Baghdad",2,169
